Mat;Ind;Ipa;Ing;Rata;Jumlah
78.5;82;86.5;40;71.75;287.00
63.5;82;69;58;68.13;272.50
68.5;88.5;81.5;50;72.13;288.50
76;80;76.5;52;71.13;284.50
66;86;66.5;60;69.63;278.50
96;90;89;62;84.25;337.00
58.5;84.5;61.5;66;67.63;270.50
71;78;74;54;69.25;277.00
88.5;80;86.5;64;79.75;319.00
81;81;81.5;60;75.88;303.50
90.5;93;79;54;79.13;316.50
48.5;75;79;69.5;68.00;272.00
73.5;81;61.5;57.5;68.38;273.50
71;79;61.5;53.5;66.25;265.00
93.5;77;76.5;49.5;74.13;296.50
88;81.5;79;65.5;78.50;314.00
86.5;89;81.5;58;78.75;315.00
85;61;59;54;64.75;259.00
86;77.5;54;72;72.38;289.50
91;83;76.5;58;77.13;308.50
76;81;71.5;46;68.63;274.50
96;87;84;78;86.25;345.00
88.5;77;76.5;84;81.50;326.00
98.5;81;76.5;70;81.50;326.00
86;90.5;79;78;83.38;333.50
86;93;64;52;73.75;295.00
86;90.5;89;48;78.38;313.50
96;87;81.5;89.5;88.50;354.00
90.5;85;91.5;80;86.75;347.00
93.5;89;84;91.5;89.50;358.00
61;81;84;66;73.00;292.00
91;85.5;89;61;81.63;326.50
86;85;56.5;63.5;72.75;291.00
76;87;59;56;69.50;278.00
78.5;91;76.5;66;78.00;312.00
73.5;83;66.5;46;67.25;269.00
81;79;81.5;67.5;77.25;309.00
53.5;75;61.5;66;64.00;256.00
88.5;85;74;51.5;74.75;299.00
76;85.5;76.5;63.5;75.38;301.50
63.5;89;86.5;61;75.00;300.00
56;79.5;69;51.5;64.00;256.00
68.5;79;74;56;69.38;277.50
66;83;69;49.5;66.88;267.50
76;75;71.5;55;69.38;277.50
88.5;93;81.5;55.5;79.63;318.50
76;85.5;69;69;74.88;299.50
73.5;85;59;53.5;67.75;271.00
68.5;75;66.5;55.5;66.38;265.50
51;86.5;56.5;56;62.50;250.00
58.5;83;71.5;55;67.00;268.00
96;86.5;91.5;71;86.25;345.00
76;75;66.5;43.5;65.25;261.00
61;79;71.5;47;64.63;258.50
58.5;80.5;71.5;45.5;64.00;256.00
86;77;86.5;65.5;78.75;315.00
88.5;80.5;71.5;73.5;78.50;314.00
66;83;66.5;47;65.63;262.50
81;91;81.5;67.5;80.25;321.00
68.5;71;76.5;45.5;65.38;261.50
80;81;66.5;51.5;69.75;279.00
88.5;93;76.5;55;78.25;313.00
91;91;89;67.5;84.63;338.50
98.5;89;91.5;79;89.50;358.00
98.5;95;91.5;73.5;89.63;358.50
91;90.5;84;76;85.38;341.50
81;87;74;59.5;75.38;301.50
81;79;66.5;40;66.63;266.50
78.5;70.5;71.5;63.5;71.00;284.00
68.5;85;69;57;69.88;279.50
78.5;79;79;48;71.13;284.50
73.5;85;84;47;72.38;289.50
73.5;85.5;84;69.5;78.13;312.50
71;85;71.5;55;70.63;282.50
93.5;89;71.5;47;75.25;301.00
96;85.5;84;55.5;80.25;321.00
88.5;87;74;45.5;73.75;295.00
88;85;84;59.5;79.13;316.50
86.5;83;91.5;89.5;87.63;350.50
93.5;93;81.5;57;81.25;325.00
90;79;71.5;49.5;72.50;290.00
91;79;79;45.5;73.63;294.50
76;73;64;79;73.00;292.00
73.5;88.5;66.5;47.5;69.00;276.00
58.5;81;79;59.5;69.50;278.00
76;77;61.5;56;67.63;270.50
61;79;74;53.5;66.88;267.50
66;75.5;64;53.5;64.75;259.00
86;83;69;56;73.50;294.00
83.5;79;79;53.5;73.75;295.00
46;85;46.5;69;61.63;246.50
91;83;79;53.5;76.63;306.50
88.5;81;76.5;49;73.75;295.00
48.5;83;66.5;51.5;62.38;249.50
81;79;79;67;76.50;306.00
80.5;90.5;81.5;59.5;78.00;312.00
96;87;81.5;65.5;82.50;330.00
68.5;89;61.5;46;66.25;265.00
83.5;87;86.5;71.5;82.13;328.50
73.5;81.5;74;57.5;71.63;286.50
51;87;61.5;47;61.63;246.50
86;87;86.5;77.5;84.25;337.00
83.5;91;59;49;70.63;282.50
91;81;81.5;67.5;80.25;321.00
88.5;81;79;49;74.38;297.50
58.5;79;54;69.5;65.25;261.00
61;81;56.5;65.5;66.00;264.00
73.5;85.5;59;51;67.25;269.00
76;79;76.5;55.5;71.75;287.00
63.5;87;69;66;71.38;285.50
63.5;89;74;85.5;78.00;312.00
88.5;89;84.5;71;83.25;333.00
81;85.5;79;59.5;76.25;305.00
66;83;66.5;66;70.38;281.50
71;83;71.5;63.5;72.25;289.00
91;80.5;74;66;77.88;311.50
76;85;79;73.5;78.38;313.50
76;89;76.5;75.5;79.25;317.00
81;85;66.5;61.5;73.50;294.00
91;79.5;79;55.5;76.25;305.00
83.5;79;81.5;56;75.00;300.00
91;91;81.5;45.5;77.25;309.00
63.5;81;79;45;67.13;268.50
66;90.5;74;41.5;68.00;272.00
66;85;61.5;66;69.63;278.50
73.5;77;66.5;51.5;67.13;268.50
81;91;71.5;56;74.88;299.50
48.5;73.5;61.5;65.5;62.25;249.00
88.5;81;74;51;73.63;294.50
88.5;83;86.5;47.5;76.38;305.50
91;87;79;51.5;77.13;308.50
61;70.5;71.5;57;65.00;260.00
71;79;69;49.5;67.13;268.50
46;89;51.5;53.5;60.00;240.00
76;69;64;64;68.25;273.00
63.5;83;54;53.5;63.50;254.00
83.5;81;51.5;66;70.50;282.00
61;77.5;64;59.5;65.50;262.00
73.5;83;66.5;56;69.75;279.00
86;85;84;63.5;79.63;318.50
61;85;79;56;70.25;281.00
76;83;84;45.5;72.13;288.50
76;90.5;81.5;51.5;74.88;299.50
61;81;79;66;71.75;287.00
98.5;91;86.5;65.5;85.38;341.50
88.5;89;84;69;82.63;330.50
86;83.5;86.5;55.5;77.88;311.50
71;93;81.5;66;77.88;311.50
73.5;79;79;61.5;73.25;293.00
98.5;89;96.5;66;87.50;350.00
63.5;85.5;61.5;55.5;66.50;266.00
78.5;79;69;56;70.63;282.50
61;89;54;53.5;64.38;257.50
68.5;81.5;69;57;69.00;276.00
78.5;75;69;53.5;69.00;276.00
61;80.5;69;69;69.88;279.50
61;81;61.5;51.5;63.75;255.00
83.5;81;56.5;69;72.50;290.00
56;83;69;61;67.25;269.00
86;79;76.5;59.5;75.25;301.00
81;89;74;67;77.75;311.00
58.5;83;59;47.5;62.00;248.00
86;81;66.5;71;76.13;304.50
88.5;85;54;65.5;73.25;293.00
51;88.5;69;61;67.38;269.50
53.5;85;59;63.5;65.25;261.00
